Disease,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,,Disease and Description,Description,Symptoms,General Explanation,Medical Explanation
hepatitis b,"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,nausea,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis c,"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Consult nearest hospital,vaccination,eat healthy,medication,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,abdominal pain,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain",consult doctor,medication,eat healthy,follow up,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,high fever,headache,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
common cold,"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,,,,,,
pneumonia,"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,high fever,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
pneumonia,"chills,fatigue,cough,high fever,breathlessness,sweating,phlegm,chest pain,fast heart rate,rusty sputum",consult doctor,medication,rest,follow up,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
dimorphic hemmorhoids(piles),"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,,,,,
heart attack,"vomiting,breathlessness,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,breathlessness,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"breathlessness,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,breathlessness,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,breathlessness,sweating",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,breathlessness,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"breathlessness,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,sweating,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
heart attack,"vomiting,breathlessness,chest pain",call ambulance,chew or swallow asprin,keep calm,,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,obesity,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,swollen legs,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen blood vessels,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
varicose veins,"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,mood swings,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,mood swings,lethargy,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hypothyroidism,"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,sweating,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,excessive hunger,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hyperthyroidism,"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,muscle weakness,irritability,abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"neck pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,swelling joints",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
osteoarthristis,"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",acetaminophen,consult nearest hospital,follow up,salt baths,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
arthritis,"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",exercise,use hot and cold therapy,try acupuncture,massage,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"headache,nausea,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,nausea,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
